file,source_sha256,output,output_sha256,width,height,format,source_bytes,output_bytes
po_mi_m_sf21_m.tga,d30248863d395600db9aff656d66c5818190988b941382cea2229acbd9947874,po_mi_m_sf21_m.dds,1a2ea6dcdb068a2904516a4a7240b7356b87555a30c84b51bc0dc844445dd334,64,128,DXT1,24594,4224
po_mi_m_sf21_s.tga,fcf5afdc4188840567f17c000c963167d9064b2ed50212abed037d8f612850aa,po_mi_m_sf21_s.dds,56a160088f3c7ff4a9f1fc9209b494a6e308462c7428ec230532b353af91b4ac,32,64,DXT1,6162,1152
po_mi_m_sf21_t.tga,2a56cb004acf3bd7b3a417f83dded5b76551b2342b8d2dd8c4065964a28781c7,po_mi_m_sf21_t.dds,672552ec195d580bb8c0c70569760270c43716310e4ef55013b752a043de2d9a,16,32,DXT1,1554,384
po_mi_x_m01_l.tga,0cad8f62a49df6084ca227fdcea5bf90e3f33bc3509586b18edbbcfcfacebedf,po_mi_x_m01_l.dds,51673dc608190249d9e7a2c968a2ddfe8747cdc07f891a6a8f695ce0edcac557,128,256,DXT1,98322,16512
po_mi_x_m01_m.tga,89e187ff513a60da0b63fc941f8670e711d704db40fc90cec2cb29580d4681a1,po_mi_x_m01_m.dds,5a7c9b5636120c8e049c28637d74c75cc1c226a3c46028acaa1b08f485043026,64,128,DXT1,24620,4224
po_mi_x_m01_s.tga,f5611347007c74c2467126536231b17be8057328b537e0c280dea0209a30a706,po_mi_x_m01_s.dds,557127896b50a6d929cbe29de0b24fc9d58a6863ca71a622d2d83931a272dcfc,32,64,DXT1,6162,1152
po_mi_x_m01_t.tga,96a78d0ea0e892bf1cd3190c8f91763eeab871856add00c5a1bee5ee7017bccc,po_mi_x_m01_t.dds,05e75302e536e2adefab6f1c39775ef894367cbd100b2133c591054be67ef806,16,32,DXT1,1554,384
po_mi_x_m02_l.tga,f51da7b29171bd87c3a1e1035dc6f439d53f8558aae46a6adf35a5d69fdbd7d5,po_mi_x_m02_l.dds,f684d686f502e284f75d994eab409c49efcc32aa982543bc2ee4be40ebb64e52,128,256,DXT1,98322,16512
po_mi_x_m02_m.tga,4aee003b8cdd82953cf283f7c0eb1b5409df424295e5bfdfc988aa0d97a7998d,po_mi_x_m02_m.dds,77b8998b43805bbd0fa2be5f9ea9008bab2c671f1724b37630b6c01d7924b179,64,128,DXT1,24620,4224
po_mi_x_m02_s.tga,5144fe2cb8812e036d74a06deaa3f4ddea3f2915f4bbee4f1badc94ab438c266,po_mi_x_m02_s.dds,1bffa21d6127088f5a7067d6d9f28a2fb7c511db52ff047d32209d348011bee7,32,64,DXT1,6162,1152
po_mi_x_m02_t.tga,12bd47fafc58aa6d2f948cf48b684cba55a8265e9b471d2f497ad123cfeb9d75,po_mi_x_m02_t.dds,663acdfc1e7cf8715d11dd01f79bebc55284c2289171afc13c2f8afab302ff75,16,32,DXT1,1554,384
po_mi_x_sf06_l.tga,1bb9e882bbaa138b066c508dbe1032273a092776c65139808a9c4c16422ef303,po_mi_x_sf06_l.dds,0955169acb8d5ead4bc5383bb7610006ad2abbf20ef3cb36d1175aad25235a7c,128,256,DXT1,98322,16512
