file,canonical,reason,original_sha256,corrected_sha256,canonical_sha256
po_dppru3_s.tga,po_dppru3_m.tga,image comparison and visual review,cce89d10f873053d70a87997e6b4ca67e4d33b34fefbc4f3c0450aa2a98dc611,1f0a37ed84a75f4487318007f5d8739140cecff7e99ce4a0e84edda5d2bc287e,212820e7f7cfdbdfb6ddcf22c9ea3f7fee159a32562a3975048757b558ba5a60
po_dppru3_t.tga,po_dppru3_m.tga,image comparison and visual review,35f4868c34fb030438ab7aea3944e878306a3abb4ef7e80d350474d6f3e1983a,9a069e4e831c1da5ab427d9ebd9217d36c30127ffbb6fd91b1b46809dacfe596,212820e7f7cfdbdfb6ddcf22c9ea3f7fee159a32562a3975048757b558ba5a60
po_dppru4_s.tga,po_dppru4_m.tga,visual review of structural asymmetry,745c74bef03f8b04ab6b788805193d07a8c6cb7aa7a916ddd40a0417c91e1d7d,91a483aa3c1f895bfce9a068e81ee9aab92d06160c6257c6defb9626704deece,a3caf310d971a238d4ff8577c6ca80e820cb7d06bba0e409b07fbfa49644fa60
po_dppru4_t.tga,po_dppru4_m.tga,visual review of structural asymmetry,ddb4d31b7981a217b88f3022e2d9f1359d05e1b6bf1863ad5b901bb4c1c54110,0890adf2189a0140ae03a078e2861c73cb16160a8f6b81d58808f4f35d71f0f1,a3caf310d971a238d4ff8577c6ca80e820cb7d06bba0e409b07fbfa49644fa60
po_dstlb1_s.tga,po_dstlb1_m.tga,visual review of structural asymmetry,5e10ece59ec864412f7b5bca198c92538007505f1f072c9d3e73165b3e3adffa,087a0ad6cf8e62869815b26c957aaaad4792b2bb4f507fe21592fb9ebd5ed407,0b7e0ea41671586211b65b3e6d692c6be321efdaf7ec46e98516032486316539
po_dstlb1_t.tga,po_dstlb1_m.tga,visual review of structural asymmetry,08b99a05d2a41744fe6281dc01b74e8ea244594325c2b985fc779a980fdea718,0cb3e019b4887e19f023636f717595f7494aa5aad0d338b628d9a1f35431a230,0b7e0ea41671586211b65b3e6d692c6be321efdaf7ec46e98516032486316539
po_dstlu2_s.tga,po_dstlu2_m.tga,image comparison and visual review,f289c24bb40d2d4b54e783f3705cf6bf35188d1fc437bb6484954d046f3092fe,359207b0b58f190952f5eb3ad508f966a004c897e5183a5182a64e11d8f3dc4f,538fc01a88d45d8cbfb1ccda8f0f6233d67047c6dbbbdf46756ced3bbf345699
po_dtbl2b1_s.tga,po_dtbl2b1_m.tga,image comparison and visual review,e17f0d1a4da02bda456d853b640f71ff48901ba2b72b0dffa697243abd03ad8c,560600d67c0c4df5af58b19bb2d36381982a38a61c76b396bab5439d14c6cf78,685a5c9f9a7f975755db52454f025f21f4ea9b70e47012fcf5ff8eb5d1009033
po_dtbl2b1_t.tga,po_dtbl2b1_m.tga,image comparison and visual review,12eb7b16531d18de36e41b5a60c748fb50dc93b8f23422b3a34eb2a440a6cd60,016a24d7e80e754525bec7f2fa1065ae6d323adf25cc69abe5def09dddd607d6,685a5c9f9a7f975755db52454f025f21f4ea9b70e47012fcf5ff8eb5d1009033
po_el_f_504_m.tga,po_el_f_504_l.tga,image comparison and visual review,9dbd3d5ee773cbe15ef60de710b84b7be302fbd9cc0aaaa68c1c58b3d3a5e846,d4747ba7934c64aa4614ba795f8f25fc56bc084514a3ed814525df77127b5a1f,2ed27b0afec1370e1b2e8885e716e80f28326fc6adc5cbed7e65de0518db6ce8
po_el_f_505_m.tga,po_el_f_505_l.tga,image comparison and visual review,6f5cc339e9de83263003e689200d6cff8faf326654acae2ec665ae640d6290bc,bc4eca5dae1b1931e284ec7a473c9725b5fa22063b87e1bd03905460a79367ba,0f98b54e024e3fa3f722fc24cb09bef466dc1f4acf4ec66310008536e0fd3a25
po_el_f_507_m.tga,po_el_f_507_l.tga,image comparison and visual review,24da4dd0cd5deca4903ff02232626809a1ed14bb4df1e2615c88ce235c86dc90,cadc6950d612087c976fb53475eb636540312283b42060e3e8f73ffedae4d785,71aebcf3348040a45029280a04334c752b619ef0f096f3b17b6c5d651512477f
po_el_f_510_m.tga,po_el_f_510_l.tga,image comparison and visual review,2b0989405d1dd829488741e5e079117bc8549d1e0270d39a81da4a4a998ee8fb,abb123cd0200756cff9b0ed0fe5b2cc822e757c1d86dc04cfbed409db7a6edc2,dc5a752c7dda911471f2b011ff590aa5d46c1c5a0e8515fae5d3f928eee36cf2
po_el_f_514_m.tga,po_el_f_514_l.tga,image comparison and visual review,77bb0c43bc7ec349284f6aef87ed030b6e9bd4cc4740058141f651b56f842fe1,e104fda1c343b19bf4ecb3f5eb387ebcf4f3a37e2d909c3d2f2e967605b54460,ed13c85e7a7bfec65df8073b7a1c0eab45d3a07db7762f182295b40086be9943
